,y,x
149452738,29.392052,-98.473483
149452740,29.392049,-98.471528
149452742,29.392047,-98.469579
149452744,29.392048,-98.467806
149452746,29.392045,-98.46541
149452769,29.392519,-98.478237
149452771,29.392523,-98.47869
149452773,29.392512,-98.480901
149452783,29.392541,-98.47348
149452821,29.393405,-98.486111
149452823,29.392376,-98.480872
149453129,29.3760917,-98.7321148
149453139,29.3759202,-98.7349469
149453158,29.3762006,-98.7360535
149453461,29.2314443,-98.5033988
149453473,29.2330994,-98.5077317
149453891,29.349606,-98.555916
149453893,29.350155,-98.55659
149454212,29.3157491,-98.6049611
149454227,29.3147161,-98.6104265
149454231,29.3134871,-98.61202
149454237,29.236939,-98.72269
149454897,29.411628,-98.589581
149454915,29.414732,-98.589924
149455283,29.212072,-98.622825
149455311,29.213991,-98.627767
149455545,29.3186477,-98.6059137
149455565,29.3162319,-98.6052423
149455598,29.4078891,-98.5903307
149455613,29.406922,-98.582988
149456934,29.403267,-98.510828
149456944,29.4033237,-98.5111441
149456954,29.4021316,-98.5116952
149458328,29.32159,-98.455919
149458342,29.321762,-98.4517673
149458498,29.358895,-98.524733
149458540,29.386325,-98.511828
149458570,29.320697,-98.5108057
149458573,29.320276,-98.5136073
149458708,29.4055272,-98.4799612
149458714,29.403325,-98.480796
149458716,29.406773,-98.479638
149458725,29.4096124,-98.4795683
149458751,29.3985582,-98.4742454
149458756,29.3974415,-98.4758117
149458792,29.392644,-98.477925
149458805,29.390884,-98.476172
149459404,29.3516206,-98.5231476
149459477,29.405362,-98.564033
149459487,29.404866,-98.560289
149459495,29.402886,-98.557862
149459502,29.4017124,-98.5575182
149459506,29.4041737,-98.5533518
149459510,29.404471,-98.556326
149459514,29.404607,-98.557716
149459565,29.405209,-98.554811
149460136,29.3567284,-98.5247715
149460147,29.35763,-98.52477
149460169,29.3979953,-98.478935
149460203,29.3936814,-98.480421
149460297,29.406222,-98.608681
149460302,29.406036,-98.611006
149460494,29.2561967,-98.7250448
149460505,29.2568403,-98.7222705
149460516,29.256831,-98.721085
149460596,29.258973,-98.717504
149460603,29.259034,-98.716638
149460605,29.2599775,-98.7139049
149461891,29.3823253,-98.6424216
149461893,29.3839301,-98.6429528
149461912,29.3452063,-98.5474054
149462345,29.286783,-98.649646
149462394,29.285702,-98.647478
149462545,29.37763,-98.73868
149462546,29.37764,-98.738571
149462557,29.3250536,-98.5965158
149462559,29.3244227,-98.598612
149462568,29.3252901,-98.5984745
149462665,29.388756,-98.546536
149462761,29.281367,-98.66345
149462772,29.281086,-98.663422
149462780,29.282234,-98.660233
149462795,29.276642,-98.672663
149462805,29.277893,-98.669268
149462810,29.277823,-98.66868
149462828,29.272178,-98.684855
149462836,29.271891,-98.684814
149462851,29.2732214,-98.6813479
149463094,29.410471,-98.589544
149465111,29.217738,-98.531566
149465769,29.3760224,-98.7394929
149465785,29.375291,-98.744068
149465872,29.381751,-98.48289
149465874,29.3811034,-98.4819169
149466081,29.3210838,-98.6030963
149466465,29.407716,-98.595551
149466467,29.407903,-98.598674
149466868,29.320457,-98.526205
149466872,29.320245,-98.5279013
149466881,29.31647,-98.5852143
149466887,29.316107,-98.588097
149466947,29.395781,-98.475714
149466996,29.397068,-98.479793
149467014,29.4011682,-98.4697128
149467025,29.401207,-98.465822
149467040,29.402085,-98.466219
149467352,29.40352,-98.548427
149467374,29.403157,-98.542989
149467424,29.340509,-98.610162
149467436,29.338435,-98.610229
149467483,29.33202,-98.56941
149467485,29.3321437,-98.5693398
149467495,29.330716,-98.566069
149467501,29.345368,-98.565013
149468251,29.404799,-98.556463
149468477,29.3062727,-98.6414202
149468509,29.224386,-98.520115
149468510,29.2273391,-98.5200694
149468680,29.3969584,-98.649271
149468688,29.3978176,-98.6493786
149468711,29.3976124,-98.6491026
149468772,29.2563144,-98.7254552
149468784,29.2573446,-98.7224361
149468787,29.257879,-98.72166
149468799,29.250171,-98.744142
149468806,29.250624,-98.743788
149468814,29.2517286,-98.7405422
149468821,29.259244,-98.714945
149468825,29.258467,-98.71654
149468829,29.258096,-98.716945
149468968,29.3749919,-98.744942
149468980,29.374944,-98.742387
149468996,29.3746096,-98.7423556
149469058,29.3757504,-98.7325215
149469068,29.375258,-98.735711
149469082,29.374928,-98.73568
149469160,29.404607,-98.554588
149469174,29.404664,-98.550965
149469178,29.372128,-98.6378688
149469383,29.229495,-98.627688
149469391,29.229386,-98.625572
149469571,29.4109737,-98.74329
149470176,29.392508,-98.56586
149470178,29.3931513,-98.5658064
149471079,29.4027725,-98.6270689
149471087,29.403604,-98.624187
149471157,29.3908557,-98.4759081
149471169,29.39256,-98.476494
149471470,29.4021319,-98.627532
149471507,29.4022641,-98.623641
149471568,29.272841,-98.681527
149471581,29.271372,-98.6845
149471588,29.271157,-98.684239
149471595,29.2771266,-98.672195
149471603,29.278425,-98.669577
149471612,29.278656,-98.669758
149472473,29.3941083,-98.48358
149472497,29.39481,-98.480386
149473167,29.320377,-98.555691
149473169,29.320156,-98.5571693
149473264,29.3746572,-98.7412587
149473506,29.246887,-98.710775
149473516,29.247757,-98.71314
149473540,29.4053106,-98.472863
149473542,29.4055438,-98.4732531
149473546,29.4059929,-98.5102079
149473565,29.4036623,-98.5106827
149473567,29.4035431,-98.5109775
149473605,29.3149835,-98.6108662
149473609,29.3161065,-98.6096125
149473617,29.3173998,-98.608141
149473618,29.3189057,-98.606365
149473624,29.3199889,-98.6049391
149474874,29.210674,-98.61835
149474889,29.2189172,-98.6187404
149474891,29.21899,-98.6193758
149474901,29.21672,-98.620914
149475477,29.2598319,-98.4725232
149475481,29.2598373,-98.4722817
149475542,29.357776,-98.524678
149475551,29.4042227,-98.557194
149475884,29.4041023,-98.5276783
149475982,29.3188715,-98.6126222
149475985,29.318243,-98.611294
149475996,29.3170896,-98.6086366
149476010,29.316607,-98.607021
149476158,29.3267973,-98.6988036
149476180,29.3254952,-98.7002552
149476484,29.3937283,-98.6606288
149476494,29.394926,-98.6609568
149476496,29.3952244,-98.6606902
149476522,29.39569,-98.513324
149476746,29.3559827,-98.5711686
149476749,29.3567187,-98.5710782
149476760,29.4062226,-98.570849
149476771,29.4068799,-98.5743105
149476864,29.216489,-98.63975
149476872,29.2148944,-98.6398626
149476873,29.214702,-98.6406288
149477049,29.3197405,-98.5113981
149477051,29.3200595,-98.5153416
149477053,29.3200465,-98.5182721
149477054,29.3197345,-98.5225588
149477057,29.320383,-98.54693
149477059,29.32018,-98.5490033
149477229,29.3982823,-98.5117775
149477263,29.3957606,-98.5077908
149478367,29.3896557,-98.5439011
149478378,29.3880248,-98.5466614
149478388,29.4038793,-98.618825
149478402,29.411476,-98.508343
149478641,29.308684,-98.659362
149479342,29.21523,-98.603045
149479348,29.2802495,-98.6669233
149479359,29.2797574,-98.6672055
149480084,29.3133308,-98.6125642
149480153,29.401769,-98.5553606
149480155,29.4018168,-98.5558149
149480263,29.2477485,-98.7388614
149480279,29.250852,-98.74232
149480304,29.4069271,-98.574785
149480321,29.4069815,-98.5754308
149480943,29.3707839,-98.5168749
149480955,29.3693649,-98.5180831
149481042,29.4064103,-98.649584
149481056,29.320261,-98.5197543
149481060,29.320469,-98.522542
149481082,29.396701,-98.653053
149481299,29.3101914,-98.6152065
149481300,29.3120969,-98.61362
149481912,29.4073224,-98.5570062
149482899,29.2193714,-98.6614393
149482952,29.358924,-98.512572
149483162,29.377206,-98.639677
149483163,29.3791141,-98.6403852
149483269,29.225404,-98.663773
149483302,29.3500179,-98.5356827
149483417,29.307506,-98.654677
149484556,29.252726,-98.719701
149484559,29.253732,-98.715471
149484564,29.2541596,-98.7196881
149484568,29.2541468,-98.7189428
149484700,29.389648,-98.511523
149484707,29.3908431,-98.511897
149484749,29.2362505,-98.627681
149484808,29.4059167,-98.5700415
149484815,29.4060398,-98.5744249
149484817,29.4060892,-98.5749098
149484848,29.4061584,-98.5755269
149485044,29.3968568,-98.519203
149485045,29.396839,-98.5223059
149485162,29.228791,-98.563502
149485358,29.3167866,-98.6091629
149485395,29.3199537,-98.550537
149485401,29.339703,-98.561418
149485883,29.404073,-98.549047
149485965,29.2563937,-98.4722511
149486212,29.266492,-98.696813
149486221,29.267601,-98.693478
149486227,29.267506,-98.692991
149486229,29.406882,-98.480665
149486233,29.409157,-98.479814
149488108,29.3208282,-98.6039794
149488109,29.3221455,-98.602908
149488306,29.3261326,-98.5933154
149488308,29.3267243,-98.5913184
149488310,29.3155535,-98.5971299
149488312,29.3152939,-98.5943355
149488593,29.2734191,-98.5775813
