,latitude,longitude,MeanElevation
9976337963,29.4845493,-98.7450892,314.27966
6071827452,29.4597456,-98.745074,280.86429
8422799636,29.3822461,-98.7450355,219.47968
8422799635,29.3806571,-98.7450282,218.16414
8422799634,29.3814559,-98.7450265,218.01299
9402571448,29.3846408,-98.7450187,223.41846
9402571446,29.3854495,-98.7450163,224.16679
149570601,29.623983,-98.744999,413.81006
5084224683,29.4702629,-98.7449428,306.43826
149468968,29.3749919,-98.744942,213.61757
9652757020,29.5294815,-98.7449199,292.62946
149645951,29.4377227,-98.7449037,282.05673
149875894,29.6199198,-98.7448715,401.86237
149950793,29.363386,-98.744865,209.89586
149950792,29.3645999,-98.744862,213.55493
149890163,29.362176,-98.744857,205.90558
149551764,29.365813,-98.744857,215.07297
149699519,29.367019,-98.744853,213.98773
1120952759,29.4602566,-98.7448503,283.70639
1119347242,29.484043,-98.7448503,312.09836
1119216667,29.4845495,-98.7448444,314.4389
9976337960,29.484765,-98.744844,315.17892
652376649,29.4897008,-98.7448369,326.80643
6294279242,29.4567367,-98.7448195,283.20975
1120952856,29.4603546,-98.7448098,283.88638
6294279240,29.4579005,-98.7447927,283.58145
5084224682,29.4698758,-98.744767,304.10715
1119216517,29.4854637,-98.7447633,318.43011
9652757028,29.530654,-98.7447561,293.27399
149694689,29.439477,-98.7447173,274.46011
9652757022,29.5315607,-98.7447014,293.51617
1119216564,29.4840427,-98.7446954,312.43835
2555440076,29.4838158,-98.7446902,312.33835
1119347109,29.4845493,-98.7446797,314.53891
1119217213,29.4847586,-98.7446775,315.0589
9652757024,29.5320472,-98.7446485,293.72293
1120206322,29.4870702,-98.7446355,321.72528
2555439914,29.4676262,-98.744635,299.26071
3552100310,29.4265384,-98.7446317,272.63318
3071471152,29.4260123,-98.7446213,273.62277
3071471142,29.425894,-98.7446159,273.68277
3552100321,29.4273548,-98.7446034,271.20901
1120206432,29.4871923,-98.7445962,321.44528
149509245,29.2513012,-98.7445027,213.81102
1319006949,29.4417232,-98.7444815,259.41327
150090275,29.3621776,-98.7444591,206.66557
2555440085,29.4840423,-98.7444558,312.65836
317889156,29.4845494,-98.7444537,314.51892
5084224681,29.4692004,-98.7444359,300.81296
6294279238,29.4562019,-98.7443903,285.44974
8432936199,29.4295892,-98.7443782,275.20911
1120206415,29.4870001,-98.7443566,320.68527
222153601,29.2030386,-98.7443349,217.00378
2555440086,29.4840421,-98.7443325,312.77835
3071471219,29.4289288,-98.7443283,273.56885
1120206384,29.4871207,-98.7443156,320.18527
2875749300,29.4845496,-98.7443151,314.45892
149504103,29.265913,-98.744307,210.76503
8436963059,29.1975277,-98.7442981,210.66249
9652757017,29.5292246,-98.7442979,292.28049
1111319651,29.5121556,-98.7442825,292.61862
2555439904,29.4669237,-98.74427,298.48395
1319006821,29.4406066,-98.7442535,267.81708
3691429996,29.4191147,-98.7442271,262.39316
5079307671,29.41961,-98.7442234,263.33316
5079307667,29.4204019,-98.7441995,267.06628
652376646,29.4897002,-98.744173,323.64139
2555439991,29.4704567,-98.7441646,308.14008
149468799,29.250171,-98.744142,214.30347
3551978307,29.4230485,-98.7441383,273.40143
8293495128,29.520287,-98.7441345,283.91974
149525193,29.2514334,-98.744076,213.463
149465785,29.375291,-98.744068,214.74831
149509251,29.2511478,-98.7440656,213.30301
1120206366,29.4869202,-98.7440644,319.8916
149717003,29.436449,-98.744061,277.89954
149717000,29.4361931,-98.7440542,277.61954
1111319544,29.5125962,-98.7440537,294.67282
149596285,29.4347778,-98.7440523,281.17493
149706199,29.4355807,-98.744051,279.22284
2555439995,29.4705013,-98.744039,307.94009
149716997,29.4339858,-98.7440373,282.82565
149716993,29.4331884,-98.7440345,283.66519
2517033613,29.4318755,-98.7440317,279.03806
2517033624,29.4320989,-98.7440281,280.29807
1123705920,29.4323883,-98.7440272,281.65805
1123705809,29.4315917,-98.7440195,277.03799
1120206357,29.4870393,-98.7440184,319.97162
1123705717,29.4308512,-98.7440101,274.03491
8293495123,29.5211767,-98.7439567,285.15921
8871854997,29.282633,-98.7439559,198.90886
652376062,29.4701854,-98.743944,306.74008
149993542,29.290179,-98.743928,211.75525
149713655,29.3317807,-98.7438898,200.99467
150043051,29.300313,-98.743886,216.12379
149713664,29.3272449,-98.7438701,202.08902
5079241296,29.4540147,-98.7438244,281.82361
10984417283,29.5334861,-98.7438062,293.97931
2555439917,29.4679456,-98.7438043,300.04947
149468806,29.250624,-98.743788,213.38318
149645929,29.4388876,-98.7437561,273.16867
3071470891,29.4237521,-98.743709,268.55557
149525197,29.250299,-98.743644,213.38318
9652757039,29.5303145,-98.7436186,292.82205
9652757034,29.5288035,-98.7436142,291.3262
652376641,29.4897048,-98.743508,322.405
